Title,Author,Genre,Tone,Pace,Protagonist,Ending,Action/Dev,Romance,Twist,Supernatural,Setting,Length,Style,Theme
The Riddle of the Sands,Erskine Childers,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Mystery,NA,NA,NA,NA,Action,NA,NA,NA,NA,Medium (300-500 pages),NA,Adventure / Science Fiction / Mystery / Thriller
The Picture of Dorian Gray,Oscar Wilde,Fiction / Fantasy / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Horror / Comic / Drama,Dramatic,NA,NA,NA,Character development,NA,NA,NA,Historical,NA,Experimental or Non-Linear,Fantasy / Science Fiction / Horror / Historical / Victory & Achievement
The Great God Pan,Arthur Machen,Horror / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very Short (< 150 pages),NA,Horror / Science Fiction / Fantasy
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,Fast,NA,NA,Action,NA,NA,NA,Historical / Nature-based / Wilderness Adventure,NA,NA,Adventure / Science Fiction / Historical
Flatland,Edwin Abbott Abbott,Fiction / Science Fiction / Narrative Nonfiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fantasy / Drama,Dramatic,NA,NA,NA,Action,NA,NA,NA,Historical,Very Short (< 150 pages),NA,Science Fiction / Historical / Humor / Adventure / Fantasy
The blue castle,Lucy Maud Montgomery,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Friendship / Science Fiction / Historical
The Awakening,Kate Chopin,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,Action,NA,NA,NA,NA,Medium (300-500 pages),NA,Science Fiction
Dubliners,James Joyce,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / short story / Biography / Autobiography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
The War of the Worlds,H. G. Wells,Fiction / Science Fiction / Fantasy / Narrative Nonfiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Comic / Legend,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction / Fantasy / Adventure
Of Human Bondage,William Somerset Maugham,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long (500-700 pages),NA,Coming of Age / Science Fiction
The Martian Chronicles,Ray Bradbury,Science Fiction / Fiction / Drama / Narrative Nonfiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,Short (150-300 pages),NA,Science Fiction
Lilith,George MacDonald,Fantasy / Fiction / nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium (300-500 pages),NA,Fantasy
The Sign of Four,Arthur Conan Doyle,Mystery / Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,Action,NA,NA,NA,NA,Short (150-300 pages),NA,Science Fiction / Adventure
Persuasion,Jane Austen,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,NA,NA,NA,NA,Historical,Short (150-300 pages),NA,Historical / Science Fiction
The Scarlet Letter,Nathaniel Hawthorne,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Drama,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction / Historical
This Side of Paradise,F. Scott Fitzgerald,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,Fast,NA,NA,NA,NA,NA,NA,Historical,Short (150-300 pages),NA,Science Fiction / Love / Romance / Historical / Coming of Age
The Adventures of Tom Sawyer,Mark Twain,Historical Fiction / Narrative Nonfiction / Science Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Comic,NA,NA,NA,NA,Action,NA,NA,NA,Historical / Nature-based / Wilderness Adventure,Short (150-300 pages),NA,Adventure / Historical / Science Fiction / Friendship / Humor
The Sea Fairies,L. Frank Baum,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,Fantasy Realms / Historical,Short (150-300 pages),NA,Science Fiction / Fantasy / Historical
The First Men in the Moon,H. G. Wells,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,Action,NA,NA,NA,NA,Short (150-300 pages),NA,Science Fiction / Adventure
Fahrenheit 451,Ray Bradbury,Science Fiction / Fiction / Narrative Nonfiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Drama / Horror,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,Short (150-300 pages),NA,Science Fiction / Horror
The Lost World,Arthur Conan Doyle,Mystery / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy,NA,NA,NA,NA,Action,NA,NA,NA,Fantasy Realms / Historical,Short (150-300 pages),NA,Adventure / Science Fiction / Fantasy / Historical
Wuthering Heights,Emily Bronte?,Fiction / Drama / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Comic,Dramatic / Romantic,NA,NA,NA,NA,NA,NA,Love them,Historical,Long (500-700 pages),NA,Science Fiction / Historical / Love / Romance
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,Mystery / Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,Dark,NA,NA,NA,Action,NA,NA,NA,Historical,Medium (300-500 pages),NA,Mystery / Thriller / Science Fiction / Adventure / Historical
